RecordID,title,target_or_only_language,original_language,monolingual,multilingual,monolingual_translations
9923715740101488,Nicolai Clenardi Græcæ lingvæ institvtiones;cvm scholiis et praxi Petri Antesignani ... a Frid. Sylbvrgio denuò recognitæ ; notationibusque Henr. Stephani .../Nicolai Clenardi Graecae linguae institutiones cum scholiis et praxi Petri Antesignani Rapistagnensis : a Frid. Sylburgio denuo recognitae ; notationibusque Henr. Stephani ...,lat|grc,,0,1,0
9992199891601488,"Ivsti Lipsii Von der Bestendigkeit zwey Bücher.Darinnen das höchste Stück Menschlicher weisheit gehandelt wird./Ietzt aussm Latein ins Teutsche bracht, durch Andream Viritivm. Sampt etlichen vorhergedruckten Episteln Iusti Lipsij und D. Chytræi, von dieser deutschen version/Von der Bestendigkeit zwei Bücher",ger,lat,1,0,1
9923068390101488,"Argument dises Biechleins.Symon Hessus zeigt an Doctori Martino Luther vrsach, warumb die Lutherische Biecher võ den Coloniensern uñ Louaniensern verbrent worden sein .../Frag vnd Antwort Symonis Hessi, vnd Martini Luterhi, newlich mit einander zü Worms gehalten, nit vnlieplich zülesen./Argument dises Biechleins./Symon Hessus zeigt an Doctori Martino Luther ursach, warumb die Lutherische Biecher von den Coloniensern und Louaniensern verbrent worden sein ...",ger,lat,1,0,1
9917509320101488,"Fvnvs parasiticvm sive L. Biberii Cvrcvlionis parasiti, mortualia. Ad ritum prisci funeris. Accessit, De parasitis, & Assentatoribus, Appendix. Item Ivliani Cæsaris epistola nvnc primvm in lvcem edita, cum latina interpretatione & notisNicolai RigaltI P./Funus parasiticum sive L. Biberii Curculionis parasiti, mortualia. Ad ritum prisci funeris. Accessit, De parasitis, & Assentatoribus, Appendix. Item Iuliani Cæsaris epistola nunc primum in lucem edita, cum latina interpretatione & notis Nicolai Rigaltii P./Iuliani imp. Epistola ad Alexandrinos. Nunquam antehac in lucem edita.",lat|grc,,0,1,0
9915660270101488,"Grammatica Hebraea, absolvtissima, in dvos libros distincta ...authore Iohanne Isaaco .../Grammatica Hebraea, absolutissima, in duos libros distincta",lat|heb,,0,1,0
9917808120101488,"Catalogue des livres, rares et precieux, au nombre de 14435 lots, de la bibliothèque de feu monsieur Jean-François Vande Velde ...Rédigé d'après le catalogue manuscrit du défunt, par M.r P.F. De Goesin-Verhaeghe ...",fre,,1,0,0
9992249868001488,"Institvtiones absolvtissimae in lingvam Graecam,per Nicolavm Clenardvm. Annotationes in nominum verborumq. difficultates. Inuestigatio thematis in verbis anomalis, cum indice. Compendiosa & luculenta syntaxeωs ratio. Multa iam ad codicis emẽdati fidem sunt restituta: adiectæq. ab Renato Guillonio adnotatiunculæ apprimè necessariæ/Institutiones absolutissimae in linguam Graecam",grc|lat,,0,1,0
997057000101488,Les conseils et les exemples politiqves de Ivste Lipse.Diuisez en deux liures. Touchant les vertvs et les vices des princes./Les conseils et les exemples politiques de Iuste Lipse./Divisez en deux livres. Touchant les vertus et les vices des princes.,fre,,1,0,0
9912407030101488,Οδυσσεια. Βατραχομυομαχια. Υμνοι λβ.Vlyssea. Batrachomyomachia. Hymni. XXXII./Odusseia. Batrachomyomachia. Humnoi. lb./Ulyssea,grc,,1,0,0
9910310800101488,Dialexis de novae et prius incognitae stellae apparitioneper Thaddeum Hagecium ab Hayck/Dialexis de novae et prius incognitae stellae inusitatae magnitudinis et splendidissimi luminis apparatione,lat|cze|eng|fre|ger|rus,,0,1,0
9992241173501488,"Tabvla in grammaticen Hebræam,avctore Nicolao Clenardo/Tabula in grammaticen Hebraeam",heb|lat,,0,1,0
9918380930101488,P. Vir. Maronis Georgicorum liber secundus.,lat,,1,0,0
9992241807201488,"Ιουστινιανου βασιλεως Νομοι γεωργικοι, και του αυτου Ιουστινιανου νεαρα Α. περι κληρονομων και του φαλκιδιουIvstiniani ... Leges de re rustica, interprete & scholiaste Francisco Balduini ... Item eivsdem Ivstiniani Nouella constitutio prima de hæredibus, & lege falcidia, cum Latina interpretatione & scholijs eiusdem Francisci Balduini, multis locis nunc primum per eundē restitutis./Ioustinianou basileōs Nomoi geōrgikoi kai tou autou Ioustinianou neara A. peri klēronomōn kai tou phalkidiou/Leges de re rustica ... Novella constitutio prima de haeredibus, et de lege falcidia",grc|lat,grc,0,1,0
9922522220101488,"A counterblast to M. Hornes vayne blast against M. Fekenham. Wherein is set forthe: a ful reply to M. Hornes answer and to euery part thereof made against the declaration of my L. Abbat of Westminster, M. Fekenham, touching the othe of supremacy. ...By Thomas Stapleton./A counterblast to M. Hornes vayne blast against M. Fekenham. Wherein is set forthe: a ful reply to M. Hornes answer and to every part thereof made against the declaration of my L. Abbat of Westminster, M. Fekenham, touching the othe of supremacy. ...",eng,,1,0,0
9989271260101488,"M.T. Ciceronis ex sexto libro De Republica Somnium Scipionis Latino-germanicum& e Macrobij, Ludovici Vivis, & Hieronymi VVolffii Commentariis, et inprimis ex ... Johannis Friderici ... editum operâ & studio M. Johannis Rhenii./Ex sexto libro De Republica Somnium Scipionis Latino-germanicum",lat|ger,,0,1,0
9977625150101488,"Oberti Giphanii ... Commentarij in decem libros ethicorvm Aristotelis ad Nicomachvm, post sat bene longam suppressionem, boni publici gratia, iam primum in lucem editi. ...Commentarii in decem libros ethicorum Aristotelis ad Nicomachum, post sat bene longam suppressionem, boni publici gratia, iam primum in lucem editi.",lat,,1,0,0
9992267195901488,Manuductio ad linguam Burgundicam præcipuis tum sacræ tum profanæ historiæ monumentis illvstrata ...opera & studio Antonii Francisci de Pratel ...,lat|fre,,0,1,0
9989258960101488,"Het tweede deel der gedichtenvan Jacob Westerbaen ... waer in Lof der sotheyd, De VI comedien van Terentius. Senecaas Troas, II. Avond-schoolen, of de Minne-kunst, en raed tegen de liefde. Farrago Latina./'t Lof der sotheyt en andere rijmwercken van Iacob Westerbaen",dut|lat,lat,0,1,0
9991023750101488,Colloquj di Gio: Lodovico Vives latini e italianitradotti da un sacerdote Fiorentino per esercizio dell'una e dell'altra lingua.,ita|lat,lat,0,1,0
9912723230101488,Breve sanctissimi domini Innocentii papæ XII. ad episcopos Belgii.Bref de N.S. pere le pape Innocent XII. aux eveques des Pays-Bas.,lat|fre,lat,0,1,0
9926812970101488,"Nicolai Clenardi Institvtiones in Græcam linguam, vnà cum annotationibus ... Eivsdem Meditationes græcanicae in artem grammaticam, ...Ad haec Renati Guilonnii annotationes in eiusdem grammaticam græcam accessere. .../Institutiones in Græcam linguam, unà cum annotationibus ... Eiusdem Meditationes græcanicae in artem grammaticam, ...",grc|lat,,0,1,0
9911601460101488,Ioannis Varennii ... peri prosôidiôn libellus antehac nunquàm excusus ... Emmanouel Moschopoulou peri prosôidiôn. De dialectis Græciscollecta ... per Hadrianum Amerotium ...,lat|grc,,0,1,0
9981131960101488,"Flores italici, ac latini sermonis;Ex hortis exercitationis Ioannis Ludovici Viuis excerpti: et ab Horatio Tvscanella italicè interpretati. ...",lat|ita,lat,0,1,0
9990575610101488,"The praise of folly.Translated from the best Latin edition of Erasmus, by W. Kennet ... Illustrated with fifty curious cuts, by the celebrated Hans Holbeine. To which is prefixed, the author's epistle to sir Thomas More. And the life of the author, by Thomas Brown.",eng,lat,1,0,1
9911891810101488,Specimen doctrinæ traditæ ab anno MDCXCI. usque ad annum MDCXCVI. inclusivè.,lat|fre,,0,1,0
9916187660101488,L'écolier chrétien ou Traité des devoirs d'un jeune homme qui veut sanctifier ses études.Par M. Collet ...,fre|lat,,0,1,0
99972120101488,Libro llamado Instrucción de la mujer cristiana,spa,,1,0,0
9915392590101488,Copie de la lettre écrite au comm[issai]re du d[irectoi]re executif près la municipalité de Louvain par J.J. Van den Elsken ...,fre,,1,0,0
992581730101488,"A fortresse of the faith, first planted amonge vs englishmen, and continued hitherto in the vniversall church of Christ. The faith of which time protestants call, papistry.By Thomas Stapleton .../A fortresse of the faith, first planted amonge us englishmen, and continued hitherto in the universall church of Christ. The faith of which time protestants call, Papistry",eng,,1,0,0
9929818530101488,"Colloquj di Gio: Lodovico Vives Latini, e volgari.Colloqui di Gio. Lodovico Vives Latini, e volgari",ita|lat,lat,0,1,0
9912110800101488,"Consvltations et advis prins es vniuersitez, consaux, & villes principalles des prouinces de leurs altezes ... & d'autres Princes voisins, de la part d'illustrissime ... Charles ... de Croy ... en la cavse qu'il a contre ... Cathérine de Gonsaga ...Consultations et advis prins es universitez, consaux, & villes principalles des provinces de leurs altezes ... & d'autres Princes voisins, de la part d'illustrissime ... Charles ... de Croy ... en la cause qu'il a contre ... Cathérine de Gonsaga ...",fre|lat,,0,1,0
9923612290101488,"Pompa fvnebris optimi potentissimiq. principis Alberti Pii, archidvcis Avstriæ, dvcis Bvrg. Bra. &c.Veris imaginibus expressa a Iacobo Francqvart ... eivsdem principis morientis vita, scriptore E. Pvteano .../Pompa funebris optimi potentissimiq. principis Alberti Pii, archiducis Austriae, ducis Burg. Bra. &c.",lat|spa|dut|fre,,0,1,0
9992146282501488,Ομηρου ΙλιαςHomeri Ilias/Hypothesis tēs g. Omēroi rapsōdias/Omērou Ilias,grc,,1,0,0
9992560779001488,"Flores italici, ac latini sermonis;ex hortis exercitationis/Ioannis Lvdovici Viuis excerpti. Et ab Horatio Tvscanella italicè interpretati",lat|ita,lat,0,1,0
9923693080101488,"Institutiones absolvtissimæ in lingvam Græcam,per Nicolaum Clenardum. Adnotationes in nominum uerborumq. difficultates. Inuestigatio thematis in uerbis anomalis ... Multa iam ad codicis emendati fidem sunt restituta: adjectæq. ab Renato Guillonio adnotatiũculæ apprimè necessariæ./Institutiones absolutissimæ in linguam Græcam, per Nicolaum Clenardum. Adnotationes in nominum verborumque difficultates. Investigatio thematis in verbis anomalis ... Multa jam ad codicis emendati fidem sunt restituta: adjectæque ab Renato Guillonio adnotatiunculæ apprimè necessariæ.",lat|grc,,0,1,0
9992249880201488,"Institvtiones ac meditationes in Græcam lingvam,N. Clenardo avthore. Cvm scholiis & praxi P. Antesignani Rapistagnensis/Institutiones ac meditationes in Graecam linguam",gre|lat,,0,1,0
991410790101488,Ομηρου Οδυσσεια βατραχομυομαχια υμνοι λβ.Homeri Vlyssea. Batrachomyomachia. Hymni .XXXII./Homērou Odusseia/Batrachomuomachia. Humnoi lb./Odyssee/Ulyssea,grc,,1,0,0
998840760101488,"Advocatus Antonii Parmentier e logico rhetor, in causa liberii et concilii Ariminensis sine logica declamans.Accedit appendix, quâ vindicatur scriptum: Advocatus.... è foro ad logicam detrusus.",lat,,1,0,0
9923478490101488,Institvtiones in lingvam graecamper Nicolaum Clenardum./Institutiones in linguam graecam,lat|gre,,0,1,0
9922439380101488,"Kirchen- und Haußpostill, oder Catholisches Zeughauß. Das ist, außführliche feste, wolgegründte Erörterung und Außlegung aller Evangelien ... in welcher alle Controverss und Zanck ... gestillet werden :erstlich durch ... Thomam Stapletonum ... beschriben. Jetzt aber ... in hochteutsch gebracht : durch F. Ægidium Stvrzivm ...",ger,lat,1,0,1
9923677520101488,Annotationes Renati Gvillonii in Grammaticam Graecam Clenardi.Annotationes Renati Guillonii in Grammaticam Graecam Clenardi,lat|grc,,0,1,0
9923334250101488,"Le vite di Leon decimo et d'Adriano VI. sommi pontefici, et del cardinal Pompeo Colonna,scritte per Mons. Paolo Giouio ... & tradotte da M. Lodovico Domenichi.",ita,,1,0,0
991676810101488,"Traité de la constance de Ivst. Lipsivs.Auquel en forme de deuis familier est discouru des afflictions, & principalement des publiques, & comme il se faut resoudre à les supporter.",fre,,1,0,0
9988144510101488,"Thomæ Mori ... Omnia, quæ hucusque ad manus nostras peruenerunt, Latina opera:quorum aliqua nunc primum in lucem prodeunt, reliqua verò multo quàm antea castigatiora .../Omnia quae hucusque ad manus nostras pervenerunt, Latina opera",lat|grc,,0,1,0
9923481070101488,"Institvtiones lingvae graecae,N. Clenardo avthore, cvm Scholiis & praxi P. Antesignani Rapistagnensis./Institutiones linguae graecae",lat|grc,,0,1,0
9926975880101488,"Institutiones absolvtissimae in Græcam linguam. Item annotationes in nominum uerborumq; difficultates. Inuestigatio thematis in uerbis anomalis. Compendiosa syntaxeos ratio. His insvper additae svnt meditationes Græcanicæ in artem grammaticam ...Nicolao Clenardo autore. Adiecta sunt ad calcem libri meditationum, annotata Renati Guillonii, in Grammaticam Graecam hactenus desiderata./Institutiones absolutissimae in Græcam linguam. Item annotationes in nominum verborumque; difficultates. Investigatio thematis in verbis anomalis. Compendiosa syntaxeos ratio. His insvper additae sunt meditationes Græcanicæ in artem grammaticam ...",lat|grc,,0,1,0
993685210101488,"ErycI Pvteani Bruma : chimonopaegnion, de laudibus hiemis, ut ea potissimum apud Belgas.Accedunt Andr. Valeri Breves notae, imaginibus Raph. Sadeleri illustratae./Bruma : chimonopaegnion, de laudibus hiemis, ut ea potissimum apud Belgas.",lat,,1,0,0
9991034060101488,Edictum regium quo exhibetur nè quis medicam artem profiteatur seu exerceat nisi fuerit gradu licentiæ in academia suæ majestati subdita. Datum Bruxellis 18. augusti 1732.,dut|fre,,0,1,0
9913468660101488,Colloquj di Gio. Lodovico Vives Latini e Italianitradotti da un sacerdote Fiorentino per esercizio dell'una e dell'altra lingua./Colloqui,lat|ita,lat,0,1,0
9911052860101488,Nicolai Clenardi Institvtiones lingvae. graecaecvm. scholiis. et. praxi P. Antesignani/Institutiones linguae. graecae cum. scholiis. et. praxi P. Antesignani,lat|grc,,0,1,0
9975903470101488,"Quelques réflexions a l'occasion du livre de M. l'Abbé Frayssinous, intitulé: Des vrais principes de l'église gallicane.Par le comte Lambrechts ...",fre,,1,0,0
9911727590101488,Trattato istorico di Venceslao Bachusio ... sopra Zegero Bernardo Van Espen nella università di Lovagno ...Opera del signor abbate Francesco Antonio Zaccaria.,ita,,1,0,0
992595310101488,"Supplement de la rélation détaillée de ce qui s'est passé a Louvain, ou Recueil des piéces authentiques qui ont servi entre le gouvernement & l'université depuis le 28 décembre 1787 jusqu'au 19 mars 1788.",fre|dut,,0,1,0
9985313720101488,"Givsto Lipsio Avertimenti et esempi politici libri dve, che rimirano le virtù, e vitij de' principi ...tradotti nella nostra lingua dal p. Sisto Pietralata da Visso .../Avertimenti et esempi politici libri due/Avertimenti et esempi politici di Givsto Lipsio libri II",ita,,1,0,0
9990346340101488,"De godtloosheyt der Rotterdamscher inquisitie in de welcke Franciscus ende Samuel Lansbergen inquisiteurs arbeyden met lasteren, leugenen, quade citatien, ende alderley onverstandicheydt levendich te delven ende begraven de vvelvarende, triumphante, eewichdurende, Roomsche, katholĳcke transvbstantiatie.Door Ioannem de Govda ...",dut,,1,0,0
9915807360101488,"Sentences magnifiques et rectorales, portées le 12 juillet M.DCC.XC par le magnifique seigneur recteur de l'université de Louvain, contre cinq fugitifs membres dudit corps. Avec notes historiques, relatives aux troubles de la même université.",fre|lat,,0,1,0
99545450101488,"Le vite di Leon decimo et d'Adriano sesto ... et del cardinal Pompeo Colonna,scritte per ... Paolo Giovio ... tradotte per M. Lodovico Domenichi.",ita,,1,0,0
9913800840101488,Rvpella captaRupella capta,lat,,1,0,0
9989699000101488,Ludovico Vives tradotto in lingua volgaredal dottor D. Giacinto Garcea di S. Procopio ...,lat|ita,lat,0,1,0
9974880530101488,"The elements of the Irish language, grammatically explained in English. In 14 chapters.By H. Mac Curtin.",eng|gle,,0,1,0
99621290101488,Cl.V. Andreæ Vallensis Vvlgo del Vavlx Andanensis ... Paratitla ivris canonici sive Decretalivm Gregorii papæ IX. svmmaria ac methodica explicatio ...Recensente Val. Andr. Desselio .../Cl.V. Andreae Vallensis Vulgo del Vaulx Andanensis ... Paratitla iuris canonici sive Decretalium Gregorii papae IX. summaria ac methodica explicatio ...,lat,,1,0,0
996717770101488,"Herdenkingstentoonstelling Paus Adrianus VIgedenkboek, catalogus./Paus Adrianus VI/1459 - 1959",dut|fre,,0,1,0
9975373620101488,"Een goet onderwijs, van de weerdicheyt, nutticheyt ende diepheyt der Heyliger Schrifturen, ende hoemen die behoort te lesen, te verstaen, ende te ghebruycken om salich te worden.By een vergadert vanden eervveerdigen H. Nicolaes Van VVinge, regulier, van nieus gheuisiteert ende gheapprobeert",dut,,1,0,0
9992379699601488,"Los seys libros de las politicas o Doctrina ciuilde Iusto Lipsio, que siruen para el gouierno del reyno, o principado/Los seis libros de la politicas o doctrina civl de Justo Lipsio, que sirven para el govierno del reino o principado",spa,lat,1,0,1
9914924070101488,"Flores Italici, ac Latini sermonis;ex hortis exercitationis Ioannis Lvdovici Viuis excerpti: et ab Horatio Tvscanella Italicè interpretati ...",lat|ita,lat,0,1,0
9912038050101488,ΙΝΣΤΙΤΟΥΤΑ ΘΕΟΦΙΛΟΥ ΑΝΤΙΚΕΝΣΩΡΟΣ.Institvtiones ivris civilis in Graecam lingvam per Theophilvm Antecessorem olim traductæ ... superioribus diebus cura & studio Viglii Zuichemi Phrysij primùm in lucem æditæ .../Institouta Theophilou Antikensōros/Institutiones iuris civilis,grc|lat,lat,0,1,0
9984970660101488,Die handlung der Vniuersithet Löuen wider Doctor Martinus Luther.Die Handlung der Universithet Löuen wider Doctor Martinus Luther,ger,,1,0,0
9922526630101488,"Institvtiones lingvae Graecae,olim quidem scriptæ. à Nicolao Clenardo, nunc autem ab erroribus multis expurgatæ ..., atque ita locupletatæ ... operâ Gerardi Jo. Vossii/Institutiones linguae Graecae,",lat|grc,,0,1,0
9983838220101488,"Het catholyck memory-boeck :in welck veel plaetsen soo uyt de H. Schrifture, als uyt de Out-vaders ... worden verhaelt.../By een vergadert, ende bedeylt in vier boecken : door Turano Vekiti ...",dut,,1,0,0
9911023230101488,Aristophanous eutrapelōtatou BatrachoiAristophanis facetissimi Ranae/ΑΡΙΣΤΟΦΑΝΟΥΣ ΕΥΤΡΑΠΕΛΩΤΑΤΟΥ ΒΑΤΡΑΧΟΙ/Batrachoi,grc,,1,0,0
9990156720101488,"Colloqujdi Gio. Lodovico Vives latini, e italiani tradotti da un sacerdote Fiorentino per esercizio dell'una e dell'altra lingua.",ita|lat,lat,0,1,0
998885340101488,"Ἰνστιτουτα Θεοφιλου ἈντικηνσωροςInstitouta Theophilou Antikinsooros/Institvtiones ivris civilis in graecam lingvam per Theophilvm Antecessorem olim traductæ ac ... explicatæ: nunc uero primum in lucem restitutæ & recognitæ/cura et studio Viglii Zvichemi Phrysij .../Institutiones iuris civilis in graecam linguam per Theophilum Antecessorum olim traductae ac fusissime ... explicatae, nunc vero primum in lucem restitutae et recognitae cura et studio Viglii Zuichemi ...",grc|lat,,0,1,0
9913182870101488,"Generalis collectionis, omnium operum ... Domini Jacobi Thomæ Josephi Wellens ... Pars prima [-secunda]Der algemeyne verzaemelinge, van de werken van ... Jacobus Thomas Josephus Wellens .../Generalis collectionis, omnium operum ... Domini Jacobi Thomae Josephi Wellens ... pars prima [- secunda]",lat|dut,,0,1,0
99972240101488,Tratado del socorro de los pobrescompuesto en Latin por ... Juan Luis Vives traducido en Castellano por el D. Juan de Gonzalo ... .,spa,,1,0,0
9992249880101488,"Colloqujdi Gio: Lodovico Vives latini, e volgari/Colloqui",ita|lat,lat,0,1,0
9911804010101488,"Pragmatica sanctio augustissimi ac invictissimi imperatoris Caroli V. Belgii principis, pro unione & successione indivisibili ditionum Belgicarum & comitatus Burgundiæ, anni 1549. Confirmata a Ferdinando Romanorum rege.",lat|fre,,0,1,0
9992681004601488,Absolvtissimae in Hebraicam lingvam institvtiones accvratissime in vsvm studiosæ juuentutis conscriptæ ...Avtore Iohanne Isaaco Leuita Germano/Absolutissimae in Hebraicam linguam institutiones accuratissime in usum studiosæ juventutis conscriptæ ...  Autore Iohanne Isaaco Levita Germano,lat|heb,,0,1,0
99552350101488,Rodolfo Agricola Frisio Della invention dialettica;tradotto da Oratio Toscanella ... con alcune annotationi ...,ita,lat,1,0,1
9992382100001488,"Della grandezza di Roma et del svo imperio, di Givsto Lipsio, lib. IV.volgarizati da Filippo Pigafetta. Con tre discorsi, l'vno de' sestertij antichi, l'altro del cadimento degl' imperij, il terzo delli porti di Roma/Della grandezza di Roma et del suo imperoi",ita,lat,1,0,1
9992681003301488,Ludovico Vives tradotto in lingua volgaredal dottor D. Giacinto Garcea di Santo Procopio ...,ita|lat,lat,0,1,0
9922987800101488,"A verie fruitfull and pleasant booke, called The instruction of a Christian woman.Made first in Latin, by ... M. Levves Vives, and translated out of Latin into English, by Richard Hyrde.",eng,lat,1,0,1
9915235030101488,ΣΟΦΟΚΛΕΟΥΣ ΤΡΑΓΩΔΙΑΙ Ζ. Sophoclis Tragoediæ VII.in quibus præter multa menda sublata ... Opeâ Gvlielmi Canteri .../Sophokleous Tragōdiai Z./Tragoediae/Tragoidiai,grc,,1,0,0
9983732300101488,Della politica o vero dottrina civiledi Givsto Lipsio libri VI. ... tradotti dal padre Sisto Pietralata ... All' eminentiss. ... Card. Girolamo Gastaldi.,ita,lat,1,0,1
9914619150101488,"Dialogos de Juan Luis Vives,traducidos en lengua Castellana por ... Christoval Coret y Peris ...",spa,,1,0,0
9984953660101488,Introdvction to wisedome. Banket of sapience. Preceptes of Agapetus.Introduction to wisedome. Banket of sapience. Preceptes of Agapetus.,eng,lat|eng,1,0,0
9916243120101488,"Refvtatie, oft VVederlegghinge teghen een ketters boecxken, gheintituleert, Het oude christen ghelooue, teghen de nieuwe dolinghe der papisten.Ghemaeckt door ... M. Cornelius Iansenius van Hulst .../Refutatie, oft Wederlegghinge teghen een ketters boecxken, gheintituleert, Het oude christen gheloove, teghen de nieuwe dolinghe der papisten.",dut,,1,0,0
9911267020101488,Les dialogves de Iean Loys Vives.Les dialogues de Jean Loys Vives.,fre|lat,,0,1,0
991572190101488,"Philip Verheyns ... Anatomie oder Zerlegung des menschlichen Leibes,worin alles, ... leicht und deutlich beschrieben, und in Kupffer fürgebildet wird.",ger,lat,1,0,1
9985313300101488,Justa Lipsyusza Uwagi i przykłady polityczne o cnotach i ułomnościach wielkich ludziUwagi i przykłady polityczne o cnotach i ułomnościach wielkich ludzi,pol,lat,1,0,1
9923485610101488,"Meditationes græcanicæ. In artem grammaticam.In eorum gratiam qui viva præceptoris voce destituuntur, & literas græcas suo ipsi ductu discere coguntur./Nicolao Clenardo avtore.",lat|grc,,0,1,0
9992403199601488,"Türckischer Keyßer Ankunfft,  Kryeg vnd Händlung, gegen vnd wider die Christen, bitz ynschlyesßlich vff den yetzt regyerenden Solymannum ...Alles verdolmetscht durch Heinrich von Eppendorff/Türckischer Keyszer Ankunfft, Kryeg und Händlung, gegen und wider die Christen, bitz ynschlyesszlich uff den yetzt regyerenden Solymannum ...",ger,,1,0,0
9991561060101488,"All the familiar colloquies of Desiderius Erasmus, of Roterdam, concerning men, manners, and things, translated into English.By N. Bailey",eng,,1,0,0
9913792510101488,"ErycI Pvteani Olympiades, sola manv, vt vere annis mvndi respondent, compvtatæ.Olympiades, sola manu, ut vere annis mundi respondent, computatae",lat|gre,,0,1,0
9923469960101488,Tabvla in grammaticen hebraeamavtore Nicolao Clenardo/Tabula in grammaticen hebraeam,lat|heb,,0,1,0
9914619190101488,Diálogos,spa,,1,0,0
9992117689001488,"Verhael der in-haeling van den heere Henricus van Gaemeren eersten van Loven door de leerzugtige jongheyd der hooge schoolen van Mechelen, onder de bestiering der priesters van't Oratorie. Den 16. van slagmaend. 1719.",dut|lat,,0,1,0
9923719760101488,Rvdimenta lingvae græcæex Nicolao Clenardo./Rudimenta linguae graecae,lat|grc,,0,1,0
